Servo 1 open ,1
Servo 1 closed ,2
Servo 2 open ,3
Servo 2 closed ,4
Servo 3 open ,5
Servo 3 closed ,6
Servo 4 open ,7
Servo 4 closed ,8
Mouse in hall 1,9
Mouse in offer zone 1,10
Enter R1,11
Reject R1,12
Quit R1,13
R1 reward tone,14
R1 no-reward tone,15
R1 reward taken,16
R1 0% offer,17
R1 20% offer,18
R1 80% offer,19
R1 100% offer,20
Mouse in hall 2,21
Mouse in offer zone 2,22
Enter R2,23
Reject R2,24
Quit R2,25
R2 reward tone,26
R 2 no-reward tone,27
R2 reward taken,28
R 2 0% offer,29
R2 20% offer,30
R2 80% offer,31
R2 100% offer,32
Mouse in hall 3,33
Mouse in offer zone 3,34
Enter R3,35
Reject R3,36
Quit R3,37
R3 reward tone,38
R3 no-reward tone,39
R3 reward taken,40
R3 0% offer,41
R3 20% offer,42
R3 80% offer,43
R3 100% offer,44
Mouse in hall 4,45
Mouse in offer zone 4,46
Enter R4,47
Reject R4,48
Quit R4,49
R4 reward tone,50
R4 no-reward tone,51
R4 reward taken,52
R4 0% offer,53
R4 20% offer,54
R4 80% offer,55
R4 100% offer,56
R1 waited & rewarded,57
R2 waited & rewarded,58
R3 waited & rewarded,59
R4 waited & rewarded,60
SHARP Entry R1,61
SHARP Accept R1,62
SHARP Exit R1,63
SHARP Entry R2,64
SHARP Accept R2,65
SHARP Exit R2,66
SHARP Entry R3,67
SHARP Accept R3,68
SHARP Exit R3,69
SHARP Entry R4,70
SHARP Accept R4,71
SHARP Exit R4,72